P,T (°C),Specific Volume Liquid (m^3/kg),Specific Volume Vapor (m^3/kg),Saturation_Liquid(Kcal/kg),Saturation_Vapour(KCal/kg)
0.00611657,0.0,0.0010,205.991,0.00,597.73
0.007,1.9,0.0010,181.217,1.89,598.54
0.008,3.8,0.0010,159.640,3.78,599.38
0.009,5.4,0.0010,142.757,5.47,600.12
0.01,7.0,0.0010,129.178,7.00,600.79
0.012,9.7,0.0010,108.670,9.70,601.96
0.014,12.0,0.0010,93.899,12.02,602.96
0.016,14.0,0.0010,82.743,14.06,603.85
0.018,15.8,0.0010,74.011,15.89,604.66
0.02,17.5,0.0010,66.987,17.55,605.38
0.024,20.4,0.0010,56.375,20.47,606.65
0.028,22.9,0.0010,48.729,22.99,607.74
0.032,25.2,0.0010,42.952,25.21,608.70
0.036,27.2,0.0010,38.430,27.21,609.56
0.04,29.0,0.0010,34.791,29.01,610.35
0.045,31.0,0.0010,31.131,31.06,611.23
0.05,32.9,0.0010,28.185,32.92,612.02
0.055,34.6,0.0010,25.762,34.62,612.76
0.06,36.2,0.0010,23.733,36.20,613.43
0.065,37.6,0.0010,22.009,37.67,614.08
0.07,39.0,0.0010,20.524,39.04,614.65
0.075,40.3,0.0010,19.233,40.33,615.20
0.08,41.5,0.0010,18.099,41.55,615.73
0.085,42.7,0.0010,17.095,42.70,616.23
0.09,43.8,0.0010,16.199,43.80,616.68
0.095,44.8,0.0010,15.396,44.84,617.14
0.1,45.8,0.0010,14.670,45.84,617.57
0.11,47.7,0.0010,13.412,47.72,618.36
0.12,49.4,0.0010,12.358,49.45,619.10
0.13,51.0,0.0010,11.462,51.07,619.77
0.14,52.5,0.0010,10.691,52.58,620.41
0.16,55.3,0.0010,9.431,55.34,621.56
0.18,57.8,0.0010,8.443,57.83,622.61
0.2,60.1,0.0010,7.648,60.09,623.54
0.24,64.1,0.0010,6.445,64.08,625.22
0.28,67.5,0.0010,5.578,67.55,626.63
0.32,70.6,0.0010,4.922,70.62,627.89
0.36,73.3,0.0010,4.407,73.39,629.02
0.4,75.9,0.0010,3.993,75.90,630.04
0.45,78.7,0.0010,3.576,78.77,631.19
0.5,81.3,0.0010,3.240,81.38,632.22
0.5,81.3,0.0010,3.240,81.38,632.22
0.55,83.7,0.0010,2.964,83.78,633.17
0.6,85.9,0.0010,2.732,86.01,634.06
0.65,88.0,0.0010,2.535,88.08,634.87
0.7,89.9,0.0010,2.365,90.03,635.61
0.75,91.8,0.0010,2.217,91.86,636.33
0.8,93.5,0.0010,2.087,93.60,637.00
0.85,95.1,0.0010,1.972,95.25,637.62
0.9,96.7,0.0010,1.869,96.82,638.22
0.95,98.2,0.0010,1.777,98.32,638.79
1,99.6,0.0010,1.694,99.76,639.32
1.1,102.3,0.0010,1.550,102.47,640.34
1.2,104.8,0.0010,1.428,104.98,641.28
1.3,107.1,0.0010,1.325,107.33,642.11
1.4,109.3,0.0011,1.237,109.53,642.93
1.5,111.3,0.0011,1.159,111.61,643.67
1.6,113.3,0.0011,1.091,113.58,644.36
1.7,115.1,0.0011,1.031,115.45,645.03
1.8,116.9,0.0011,0.977,117.23,645.65
1.9,118.6,0.0011,0.929,118.94,646.25
2,120.2,0.0011,0.886,120.58,646.80
2.1,121.8,0.0011,0.846,122.15,647.35
2.2,123.3,0.0011,0.810,123.66,647.85
2.3,124.7,0.0011,0.777,125.12,648.35
2.4,126.1,0.0011,0.747,126.52,648.81
2.5,127.4,0.0011,0.719,127.88,649.26
2.6,128.7,0.0011,0.693,129.20,649.69
2.7,130.0,0.0011,0.669,130.49,650.10
2.8,131.2,0.0011,0.646,131.73,650.50
2.9,132.4,0.0011,0.625,132.93,650.89
3,133.5,0.0011,0.606,134.11,651.27
3.1,134.6,0.0011,0.587,135.25,651.63
3.2,135.7,0.0011,0.570,136.37,651.96
3.3,136.8,0.0011,0.554,137.45,652.32
3.4,137.8,0.0011,0.539,138.51,652.63
3.5,138.9,0.0011,0.524,139.55,652.96
3.6,139.8,0.0011,0.511,140.57,653.25
3.7,140.8,0.0011,0.498,141.56,653.56
3.8,141.8,0.0011,0.485,142.53,653.85
3.9,142.7,0.0011,0.474,143.48,654.14
4,143.6,0.0011,0.462,144.41,654.42
4,143.6,0.0011,0.462,144.41,654.42
4.2,145.4,0.0011,0.442,146.22,654.95
4.4,147.1,0.0011,0.423,147.97,655.45
4.6,148.7,0.0011,0.405,149.65,655.93
4.8,150.3,0.0011,0.390,151.28,656.38
5,151.8,0.0011,0.375,152.85,656.81
5.2,153.3,0.0011,0.361,154.38,657.24
5.4,154.8,0.0011,0.349,155.86,657.63
5.6,156.1,0.0011,0.337,157.30,658.01
5.8,157.5,0.0011,0.326,158.70,658.39
6,158.8,0.0011,0.316,160.07,658.72
6.2,160.1,0.0011,0.306,161.40,659.08
6.4,161.4,0.0011,0.297,162.69,659.39
6.6,162.6,0.0011,0.288,163.96,659.73
6.8,163.8,0.0011,0.280,165.19,660.02
7,164.9,0.0011,0.273,166.40,660.33
7.2,166.1,0.0011,0.266,167.58,660.59
7.4,167.2,0.0011,0.259,168.74,660.88
7.6,168.3,0.0011,0.252,169.88,661.14
7.8,169.4,0.0011,0.246,170.99,661.40
8,170.4,0.0011,0.240,172.08,661.64
8.2,171.4,0.0011,0.235,173.15,661.88
8.4,172.4,0.0011,0.229,174.20,662.12
8.6,173.4,0.0011,0.224,175.23,662.33
8.8,174.4,0.0011,0.220,176.24,662.55
9,175.4,0.0011,0.215,177.23,662.76
9.2,176.3,0.0011,0.210,178.21,662.98
9.4,177.2,0.0011,0.206,179.18,663.17
9.6,178.1,0.0011,0.202,180.12,663.36
9.8,179.0,0.0011,0.198,181.06,663.55
10,179.9,0.0011,0.194,181.98,663.74
10.5,182.0,0.0011,0.186,184.21,664.17
11,184.1,0.0011,0.177,186.37,664.58
11.5,186.0,0.0011,0.170,188.46,664.96
12,188.0,0.0011,0.163,190.48,665.32
12.5,189.8,0.0011,0.157,192.44,665.66
13,191.6,0.0011,0.151,194.34,665.99
13.5,193.3,0.0011,0.146,196.19,666.28
14,195.0,0.0011,0.141,197.98,666.54
14.5,196.7,0.0012,0.136,199.73,666.80
15,198.3,0.0012,0.132,201.44,667.07
15,198.3,0.0012,0.132,201.44,667.07
15.5,199.8,0.0012,0.128,203.11,667.28
16,201.4,0.0012,0.124,204.73,667.50
16.5,202.9,0.0012,0.120,206.32,667.71
17,204.3,0.0012,0.117,207.88,667.90
17.5,205.7,0.0012,0.113,209.40,668.07
18,207.1,0.0012,0.110,210.89,668.24
18.5,208.5,0.0012,0.107,212.35,668.40
19,209.8,0.0012,0.105,213.79,668.55
19.5,211.1,0.0012,0.102,215.19,668.69
20,212.4,0.0012,0.100,216.58,668.81
21,214.9,0.0012,0.095,219.26,669.05
22,217.2,0.0012,0.091,221.86,669.24
23,219.6,0.0012,0.087,224.38,669.41
24,221.8,0.0012,0.083,226.82,669.55
25,224.0,0.0012,0.080,229.19,669.67
26,226.0,0.0012,0.077,231.49,669.77
27,228.1,0.0012,0.074,233.73,669.86
28,230.1,0.0012,0.071,235.92,669.91
29,232.0,0.0012,0.069,238.05,669.96
30,233.9,0.0012,0.067,240.11,669.98
31,235.7,0.0012,0.065,242.16,669.98
32,237.5,0.0012,0.062,244.14,669.96
33,239.2,0.0012,0.061,246.08,669.93
34,240.9,0.0012,0.059,247.99,669.91
35,242.6,0.0012,0.057,249.88,669.84
36,244.2,0.0012,0.055,251.70,669.79
37,245.8,0.0012,0.054,253.51,669.72
38,247.3,0.0012,0.052,255.28,669.62
39,248.9,0.0012,0.051,257.00,669.53
40,250.4,0.0013,0.050,258.72,669.41
41,251.8,0.0013,0.049,260.42,669.29
42,253.3,0.0013,0.047,262.05,669.17
43,254.7,0.0013,0.046,263.70,669.03
44,256.1,0.0013,0.045,265.27,668.88
45,257.4,0.0013,0.044,266.85,668.71
46,258.8,0.0013,0.043,268.40,668.57
47,260.1,0.0013,0.042,269.96,668.38
48,261.4,0.0013,0.041,271.46,668.21
49,262.7,0.0013,0.040,272.94,668.02
50,263.9,0.0013,0.039,274.43,667.83
51,265.2,0.0013,0.039,275.88,667.64
52,266.4,0.0013,0.038,277.32,667.42
53,267.6,0.0013,0.037,278.73,667.21
54,268.8,0.0013,0.036,280.14,666.99
55,270.0,0.0013,0.036,281.53,666.76
56,271.1,0.0013,0.035,282.91,666.52
57,272.3,0.0013,0.034,284.25,666.28
58,273.4,0.0013,0.034,285.61,666.04
59,274.5,0.0013,0.033,286.93,665.80
60,275.6,0.0013,0.032,288.24,665.54
61,276.7,0.0013,0.032,289.53,665.27
62,277.7,0.0013,0.031,290.85,665.01
63,278.8,0.0013,0.031,292.09,664.72
64,279.8,0.0013,0.030,293.38,664.46
65,280.9,0.0013,0.030,294.62,664.17
66,281.9,0.0013,0.029,295.87,663.89
67,282.9,0.0013,0.029,297.08,663.58
68,283.9,0.0013,0.028,298.33,663.29
69,284.9,0.0013,0.028,299.52,662.98
70,285.8,0.0014,0.027,300.72,662.67
71,286.8,0.0014,0.027,301.91,662.36
72,287.7,0.0014,0.027,303.08,662.05
73,288.7,0.0014,0.026,304.25,661.71
74,289.6,0.0014,0.026,305.40,661.40
75,290.5,0.0014,0.025,306.55,661.07
76,291.4,0.0014,0.025,307.72,660.73
77,292.4,0.0014,0.025,308.84,660.40
78,293.2,0.0014,0.024,309.99,660.04
79,294.1,0.0014,0.024,311.09,659.70
80,295.0,0.0014,0.024,312.19,659.35
81,295.9,0.0014,0.023,313.31,658.99
82,296.7,0.0014,0.023,314.39,658.63
83,297.6,0.0014,0.023,315.49,658.25
84,298.4,0.0014,0.022,316.59,657.89
85,299.3,0.0014,0.022,317.64,657.51
86,300.1,0.0014,0.022,318.71,657.12
87,300.9,0.0014,0.021,319.79,656.74
88,301.7,0.0014,0.021,320.84,656.36
89,302.5,0.0014,0.021,321.87,655.98
90,303.3,0.0014,0.020,322.92,655.57
90,303.3,0.0014,0.020,322.92,655.57
91,304.1,0.0014,0.020,323.97,655.19
92,304.9,0.0014,0.020,325.00,654.78
93,305.7,0.0014,0.020,326.03,654.37
94,306.5,0.0014,0.019,327.03,653.97
95,307.2,0.0014,0.019,328.06,653.54
96,308.0,0.0014,0.019,329.06,653.13
97,308.8,0.0014,0.019,330.07,652.70
98,309.5,0.0014,0.018,331.07,652.27
99,310.3,0.0014,0.018,332.07,651.84
100,311.0,0.0015,0.018,333.08,651.41
102,312.5,0.0015,0.018,335.04,650.53
104,313.9,0.0015,0.017,336.97,649.62
106,315.3,0.0015,0.017,338.93,648.71
108,316.7,0.0015,0.016,340.85,647.78
110,318.1,0.0015,0.016,342.73,646.82
112,319.4,0.0015,0.016,344.62,645.87
114,320.8,0.0015,0.015,346.53,644.89
116,322.1,0.0015,0.015,348.40,643.88
118,323.4,0.0015,0.015,350.24,642.88
120,324.7,0.0015,0.014,352.10,641.83
122,325.9,0.0015,0.014,353.92,640.78
124,327.2,0.0015,0.014,355.76,639.72
126,328.4,0.0016,0.013,357.58,638.62
128,329.6,0.0016,0.013,359.39,637.52
130,330.9,0.0016,0.013,361.16,636.40
132,332.0,0.0016,0.013,362.95,635.25
134,333.2,0.0016,0.012,364.75,634.08
136,334.4,0.0016,0.012,366.52,632.89
138,335.5,0.0016,0.012,368.31,631.69
140,336.7,0.0016,0.011,370.10,630.47
142,337.8,0.0016,0.011,371.85,629.21
144,338.9,0.0016,0.011,373.64,627.94
146,340.0,0.0016,0.011,375.38,626.65
148,341.1,0.0016,0.011,377.13,625.31
150,342.2,0.0017,0.010,378.90,623.97
152,343.2,0.0017,0.010,380.69,622.61
154,344.3,0.0017,0.010,382.43,621.20
156,345.3,0.0017,0.010,384.20,619.77
158,346.3,0.0017,0.010,385.97,618.31
160,347.4,0.0017,0.009,387.74,616.83
160,347.4,0.0017,0.009,387.74,616.83
162,348.4,0.0017,0.009,389.53,615.30
164,349.4,0.0017,0.009,391.32,613.74
166,350.3,0.0017,0.009,393.09,612.17
168,351.3,0.0018,0.009,394.93,610.54
170,352.3,0.0018,0.008,396.73,608.87
172,353.3,0.0018,0.008,398.57,607.17
174,354.2,0.0018,0.008,400.43,605.40
176,355.1,0.0018,0.008,402.27,603.61
178,356.1,0.0018,0.008,404.16,601.77
180,357.0,0.0018,0.008,406.07,599.86
182,357.9,0.0019,0.007,407.98,597.90
184,358.8,0.0019,0.007,409.97,595.89
186,359.7,0.0019,0.007,411.95,593.79
188,360.6,0.0019,0.007,413.93,591.64
190,361.5,0.0019,0.007,416.01,589.39
192,362.3,0.0019,0.007,418.09,587.05
194,363.2,0.0020,0.006,420.22,584.63
196,364.1,0.0020,0.006,422.42,582.08
198,364.9,0.0020,0.006,424.67,579.40
200,365.7,0.0020,0.006,426.96,576.55
202,366.6,0.0021,0.006,429.33,573.57
204,367.4,0.0021,0.006,431.81,570.34
206,368.2,0.0021,0.005,434.39,566.90
208,369.0,0.0022,0.005,437.14,563.12
210,369.8,0.0022,0.005,440.08,558.94
212,370.6,0.0023,0.005,443.31,554.23
214,371.4,0.0023,0.005,446.99,548.78
216,372.2,0.0024,0.004,451.43,542.21
218,372.9,0.0025,0.004,457.19,533.68
220,373.7,0.0027,0.004,466.49,519.38
220.64,373.9,0.0031,0.003,481.79,498.16
